Intervallo			Binnaggio 		Risultato 
275 - 12000			1000			2042.22 +- 54.6479 
275 - 12000			1500			2070.75 +- 55.1009 
275 - 12000			2000			2053.47 +- 54.7492 
275 - 12000			2500			2011.96 +- 54.6074
275 - 12000			3000			2053.95 +- 53.7686

300 - 12000			1000			2053.95 +- 55.7549
300 - 12000			1500			2081.05 +- 56.1577
300 - 12000			2000			2051.17 +- 55.2383
300 - 12000			2500			2021.51 +- 55.4996
300 - 12000			3000			2061.72 +- 54.5991

350 - 12000			1000			2093.99 +- 58.1493
350 - 12000			1500			2113.19 +- 58.4255
350 - 12000			2000			2100.25 +- 58.075
350 - 12000			2500			2056.22 +- 57.7871
350 - 12000			3000			2082.72 +- 56.4277

400 - 12000			1000			2092.25 +- 59.6737
400 - 12000			1500			2105.4 +- 59.4626
400 - 12000			2000			2086.77 +- 58.8291
400 - 12000			2500			2069 +- 59.6226
400 - 12000			3000			2080.71+- 57.616










 
